Datetime,Open,High,Low,Close,Volume,date,time
2025-05-28 09:30:00+05:30,277.9599914550781,278.0,277.5799865722656,277.82000732421875,343583.0,2025-05-28,09:30:00
2025-05-28 09:45:00+05:30,277.8999938964844,278.07000732421875,277.6000061035156,278.0,201291.0,2025-05-28,09:45:00
2025-05-28 10:00:00+05:30,277.44000244140625,277.94000244140625,277.3500061035156,277.94000244140625,443632.0,2025-05-28,10:00:00
2025-05-28 10:15:00+05:30,277.3800048828125,277.6199951171875,277.1499938964844,277.3699951171875,206222.0,2025-05-28,10:15:00
2025-05-28 10:30:00+05:30,277.29998779296875,277.5400085449219,277.19000244140625,277.29998779296875,171324.0,2025-05-28,10:30:00
2025-05-28 10:45:00+05:30,277.7099914550781,277.8800048828125,277.30999755859375,277.3500061035156,204256.0,2025-05-28,10:45:00
2025-05-28 11:00:00+05:30,277.5299987792969,277.8500061035156,277.42999267578125,277.760009765625,108586.0,2025-05-28,11:00:00
2025-05-28 11:15:00+05:30,277.4800109863281,277.739990234375,277.4100036621094,277.5299987792969,97019.0,2025-05-28,11:15:00
2025-05-28 11:30:00+05:30,277.510009765625,277.54998779296875,277.3299865722656,277.5400085449219,101176.0,2025-05-28,11:30:00
2025-05-28 11:45:00+05:30,277.6199951171875,277.75,277.4100036621094,277.489990234375,102907.0,2025-05-28,11:45:00
2025-05-28 12:00:00+05:30,277.5,277.6499938964844,277.3599853515625,277.6000061035156,121117.0,2025-05-28,12:00:00
2025-05-28 12:15:00+05:30,277.6000061035156,277.6000061035156,277.4599914550781,277.5,105653.0,2025-05-28,12:15:00
2025-05-28 12:30:00+05:30,277.7799987792969,277.79998779296875,277.55999755859375,277.6000061035156,148768.0,2025-05-28,12:30:00
2025-05-28 12:45:00+05:30,278.0299987792969,278.20001220703125,277.7200012207031,277.7200012207031,157788.0,2025-05-28,12:45:00
2025-05-28 13:00:00+05:30,277.82000732421875,278.2699890136719,277.82000732421875,278.0299987792969,147090.0,2025-05-28,13:00:00
2025-05-28 13:15:00+05:30,277.9800109863281,277.989990234375,277.7200012207031,277.80999755859375,324759.0,2025-05-28,13:15:00
2025-05-28 13:30:00+05:30,277.75,278.0,277.7099914550781,277.9800109863281,62490.0,2025-05-28,13:30:00
2025-05-28 13:45:00+05:30,277.8399963378906,277.9800109863281,277.6000061035156,277.79998779296875,90663.0,2025-05-28,13:45:00
2025-05-28 14:00:00+05:30,277.8800048828125,277.9800109863281,277.70001220703125,277.8399963378906,41513.0,2025-05-28,14:00:00
2025-05-28 14:15:00+05:30,277.7900085449219,278.0799865722656,277.55999755859375,277.8800048828125,204349.0,2025-05-28,14:15:00
2025-05-28 14:30:00+05:30,277.80999755859375,277.989990234375,277.6099853515625,277.7699890136719,81282.0,2025-05-28,14:30:00
2025-05-28 14:45:00+05:30,277.8900146484375,277.95001220703125,277.79998779296875,277.79998779296875,76010.0,2025-05-28,14:45:00
2025-05-28 15:00:00+05:30,277.57000732421875,277.8999938964844,277.57000732421875,277.8900146484375,645584.0,2025-05-28,15:00:00
2025-05-28 15:15:00+05:30,277.7900085449219,277.7900085449219,277.6000061035156,277.6099853515625,304304.0,2025-05-28,15:15:00
2025-05-29 09:15:00+05:30,278.19000244140625,278.75,278.04998779296875,278.260009765625,170192.0,2025-05-29,09:15:00
2025-05-29 09:30:00+05:30,278.2900085449219,278.3500061035156,278.04998779296875,278.1499938964844,159531.0,2025-05-29,09:30:00
2025-05-29 09:45:00+05:30,278.30999755859375,278.30999755859375,278.0,278.29998779296875,116255.0,2025-05-29,09:45:00
2025-05-29 10:00:00+05:30,278.2900085449219,278.6000061035156,278.1600036621094,278.3299865722656,227168.0,2025-05-29,10:00:00
2025-05-29 10:15:00+05:30,278.07000732421875,278.29998779296875,278.07000732421875,278.2900085449219,280509.0,2025-05-29,10:15:00
2025-05-29 10:30:00+05:30,277.7799987792969,278.0199890136719,277.75,278.0,260260.0,2025-05-29,10:30:00
2025-05-29 10:45:00+05:30,277.80999755859375,277.989990234375,277.7300109863281,277.7799987792969,76915.0,2025-05-29,10:45:00
2025-05-29 11:00:00+05:30,277.5799865722656,277.8900146484375,277.4599914550781,277.79998779296875,376499.0,2025-05-29,11:00:00
2025-05-29 11:15:00+05:30,277.55999755859375,277.739990234375,277.4200134277344,277.57000732421875,93309.0,2025-05-29,11:15:00
2025-05-29 11:30:00+05:30,277.6700134277344,277.80999755859375,277.55999755859375,277.5799865722656,57110.0,2025-05-29,11:30:00
2025-05-29 11:45:00+05:30,277.7300109863281,277.79998779296875,277.6000061035156,277.6700134277344,74941.0,2025-05-29,11:45:00
2025-05-29 12:00:00+05:30,277.69000244140625,277.79998779296875,277.6300048828125,277.7699890136719,65219.0,2025-05-29,12:00:00
2025-05-29 12:15:00+05:30,277.80999755859375,277.8399963378906,277.5799865722656,277.6199951171875,72771.0,2025-05-29,12:15:00
